date,price,fast_ma,slow_ma,signal
2025-06-10,110261.57485948496,106770.10864439169,101941.46535102837,1
2025-06-11,110212.73252109604,106797.45208463384,102396.67906163665,1
2025-06-12,108679.9760916168,106653.4330423075,102698.75526575418,1
2025-06-13,105979.22902375912,106591.56106506013,102946.23080005472,1
2025-06-14,106045.56440819205,106502.27109827955,103189.68580364512,1
2025-06-15,105482.90611628916,106333.32588522186,103403.88168584218,1
2025-06-16,105554.49383061715,106142.16482012114,103622.0902350305,1
2025-06-17,106951.2720181497,106036.3055735779,103884.92891899987,1
2025-06-18,104683.42479835715,105878.56759794569,104077.98528587211,1
2025-06-19,104722.695052907,105827.43152041202,104287.31199766663,1
2025-06-20,104690.65002458123,105861.41804351976,104496.40993194863,1
2025-06-21,103290.105144757,105791.54792929017,104633.67313038916,1
2025-06-22,101532.5683847329,105582.67605161542,104727.21313539593,1
2025-06-23,100852.58264648831,105331.06805232924,104825.80741984482,1
2025-06-24,105511.62437933136,105334.92539872334,105049.50749772559,1
2025-06-25,105976.06929808448,105393.08295268721,105273.8524094762,1
2025-06-26,107238.53045016268,105672.47253746822,105481.53237871626,1
2025-06-27,106984.01253775664,105801.18568037648,105680.68275407804,1
2025-06-28,107078.91560644074,105871.05872998973,105760.73555510427,1
2025-06-29,107331.58548463575,105953.02563387202,105848.11645565853,1
2025-06-30,108396.61631317894,105859.77770655672,105923.43119593376,0
2025-07-01,107132.79910701896,105705.78103585285,105986.20594573923,0
2025-07-02,105613.39974163056,105552.45221835354,106040.93733199983,0
2025-07-03,108824.44423167944,105694.71297874957,106133.73640877927,0
2025-07-04,109602.20483914016,105872.54500029697,106253.89199054394,0
2025-07-05,108040.8919400104,106000.44429148303,106340.53280205939,0
2025-07-06,108217.46849992426,106133.59302494838,106433.7614732614,0
2025-07-07,109215.19771840284,106246.78930996105,106553.81813085236,0
2025-07-08,108300.71675785031,106427.65390793569,106599.21971234666,0
2025-07-09,108953.19187727802,106639.17874915425,106665.69523380486,0
2025-07-10,111327.53054245668,106971.02277504801,106756.51144548718,1
2025-07-11,115879.65030112496,107600.50003286642,106880.78717718464,1
2025-07-12,117571.02510036016,108402.42286864777,107001.00054042897,1
2025-07-13,117418.95745007684,109230.74160882721,107205.04631805638,1
2025-07-14,119117.55666327637,109911.03822302446,107430.77017644582,1
2025-07-15,119833.67446712356,110603.91848147642,107650.20745823944,1
2025-07-16,117678.19493404306,111125.90170567045,107816.21705426768,1
2025-07-17,118748.1627367753,111714.10921562134,108009.81117002289,1
2025-07-18,119445.36520434044,112332.43169551637,108241.95478788967,1
2025-07-19,117988.94664455787,112865.29975351245,108486.82538870921,1
2025-07-20,117901.62655900871,113340.55026580396,108764.63952864084,1
2025-07-21,117256.9208222684,113846.75635156641,109016.02779649924,1
2025-07-22,117482.46977767294,114440.20985336853,109251.47707328814,1
2025-07-23,119955.79570607652,114996.7774270884,109532.89813476543,1
2025-07-24,118629.05588130427,115448.1199791966,109796.78970336253,1
2025-07-25,118354.43517438594,115963.79714091538,110067.62004247413,1
2025-07-26,117540.8083708574,116429.96413446203,110385.42143480042,1
2025-07-27,117959.54234360624,116867.18136572221,110656.41728808072,1
2025-07-28,119418.91405141471,117423.09123040042,110931.1664768255,1
2025-07-29,118003.30201607826,117875.59673734044,111177.38756900726,1
2025-07-30,117853.30892863822,118201.88565664952,111329.22225039033,1
2025-07-31,117833.24087995924,118299.56518559123,111481.6324175676,1
2025-08-01,115700.00243915782,118206.01405253113,111622.0329445184,1
2025-08-02,113234.6051343189,117996.7964367432,111767.1404667296,1
2025-08-03,112554.90232221724,117668.66371969024,111897.3272250101,1
2025-08-04,114199.10966460756,117386.93547956445,112071.65129597647,1
2025-08-05,115138.68613070175,117259.96003939738,112263.33514197817,1
2025-08-06,114128.35408881678,117028.96960699947,112406.8767833915,1
2025-08-07,115022.09576830892,116807.80613519787,112613.65020279055,1
2025-08-08,117463.47451085236,116781.53252851262,112868.46579194945,1
2025-08-09,116688.36663186055,116720.8695321552,113108.42012409505,1
2025-08-10,116510.08393213755,116683.52768764866,113372.81969984266,1
2025-08-11,119266.92516880557,116772.7504572053,113727.50683552411,1
2025-08-12,118773.79960860992,116713.65065233195,114085.93117476653,1
2025-08-13,120202.53485503166,116792.32460101834,114379.74938428054,1
2025-08-14,123560.99363577303,117052.65252408767,114731.44787103431,1
2025-08-15,118405.59579823952,117095.89189545678,114954.78917799584,1
2025-08-16,117339.79190213275,117064.9043733831,115161.90476528337,1
2025-08-17,117501.21653394958,116969.01949750986,115370.35078383355,1
2025-08-18,117542.83687778088,116945.99624059498,115574.57581169644,1
2025-08-19,116256.41276740946,116866.15143253354,115731.77174078107,1
2025-08-20,112778.34483555844,116613.40663031352,115844.68265535185,1
2025-08-21,114252.39755195397,116541.02638595333,116017.46261155831,1
2025-08-22,112414.39987336512,116500.01612290562,116089.26172439202,1
2025-08-23,116834.24948202296,116713.98348089591,116233.90261724968,1
2025-08-24,115359.98346714744,116772.02717102291,116380.28444779244,1
2025-08-25,113399.54847314973,116685.0702881453,116483.92604725694,1
2025-08-26,110185.35443900424,116487.92030565468,116503.32918166896,0
2025-08-27,111842.70999260596,116328.95101686954,116574.16904636407,0
2025-08-28,111216.08479629167,116016.58153114149,116619.42690474435,0
2025-08-29,112525.59740669793,115808.44306988336,116643.38824202918,0
2025-08-30,108480.30666639366,115406.95420659617,116495.40136933455,0
2025-08-31,108781.95727925688,114882.70581211874,116319.62001291248,0
2025-09-01,108253.36092385623,114356.68387788106,116136.30808238806,0
2025-09-02,109162.68557992298,113804.69141412561,115937.210660721,0
2025-09-03,111190.18209845416,113186.15083725969,115764.3408133476,0
2025-09-04,111711.51977725116,112851.44703621026,115645.00731021177,0
2025-09-05,110724.736377486,112520.69425997793,115484.53878302599,0
2025-09-06,110662.18112628513,112178.7424895947,115308.87510146489,0
2025-09-07,110209.1888247784,111812.06008694458,115153.27994506928,0
2025-09-08,111131.9923868407,111555.83906791612,115017.88726162593,0
2025-09-09,112025.12878118773,111518.1782651976,114913.25142080434,0
2025-09-10,111547.43956434788,111382.9303658173,114794.55081653781,0
2025-09-11,113975.32489468766,111460.97661688345,114674.94140031004,0
