date,price,fast_ma,slow_ma,signal,asset_return,position,gross_strategy_return,trade_flag,transaction_cost,net_strategy_return,equity_asset,equity_strategy_gross,equity_strategy_net
2025-09-09,112025.12878118773,111518.1782651976,114913.25142080434,0,0.008036717196953536,0.0,0.0,0,0.0,0.0,1.1885153364633,1.1382203899331207,1.1337186638881485
2025-09-10,111547.43956434788,111382.9303658173,114794.55081653781,0,-0.004264125576439959,0.0,-0.0,0,0.0,-0.0,1.1834473578190958,1.1382203899331207,1.1337186638881485
2025-09-11,113975.32489468766,111460.97661688345,114674.94140031004,0,0.021765495826905124,0.0,0.0,0,0.0,0.0,1.2092056763470693,1.1382203899331207,1.1337186638881485
2025-09-12,115503.16663193036,111394.42247437879,114612.42361532258,0,0.013405021996247157,0.0,0.0,0,0.0,0.0,1.2254151050364888,1.1382203899331207,1.1337186638881485
2025-09-13,116160.14344594492,111434.43047331864,114568.53778075374,0,0.005687954998741418,0.0,0.0,0,0.0,0.0,1.2323852110087143,1.1382203899331207,1.1337186638881485
2025-09-14,115970.58488443034,111562.98229388271,114537.1333110252,0,-0.0016318726534871875,0.0,-0.0,0,0.0,-0.0,1.2303741152843073,1.1382203899331207,1.1337186638881485
2025-09-15,115373.55555886828,111822.39234987591,114485.41357533046,0,-0.005148109981139015,0.0,-0.0,0,0.0,-0.0,1.2240400140208771,1.1382203899331207,1.1337186638881485
2025-09-16,115397.25272727507,112000.11948660936,114404.98034884763,0,0.00020539514702488937,0.0,0.0,0,0.0,0.0,1.2242914258995212,1.1382203899331207,1.1337186638881485
2025-09-17,116762.8496864193,112277.45773111575,114380.17130225449,0,0.011833877556614025,0.0,0.0,0,0.0,0.0,1.2387795407272286,1.1382203899331207,1.1337186638881485
2025-09-18,116455.9464822532,112473.97518489351,114352.22405332678,0,-0.002628431945523091,0.0,-0.0,0,0.0,-0.0,1.2355234930089207,1.1382203899331207,1.1337186638881485
2025-09-19,117145.49508952006,112907.23460604981,114338.46913751798,0,0.005921111184922889,0.0,0.0,0,0.0,0.0,1.242839164982611,1.1382203899331207,1.1337186638881485
2025-09-20,115655.81046441344,113250.92726530763,114337.58529802311,0,-0.012716533606078717,0.0,-0.0,0,0.0,-0.0,1.2270345589741587,1.1382203899331207,1.1337186638881485
